NR	Parameter	Gene	ENSG	UniProtID	OlinkID	LOD	N_blod	FullName	GE_ok	Cytoband	chr	start_hg19	stop_hg19	start_hg38	stop_hg38	mean_combined	sd_combined	mean_males	sd_males	mean_females	sd_females	pval_males_females
17	PAR_1	F2R	ENSG00000181104	P25116	OID00395	0.80543	0	Coagulation Factor II Thrombin Receptor	TRUE	5q13.3	5	76011951	76031595	76716126	76735770	6.14310233372922	0.291635007366273	6.13052645228216	0.291358468249389	6.15994004166667	0.291357605454274	0.0267422033538804
18	TRAIL_R2	TNFRSF10B	ENSG00000120889	O14763	OID00396	1.06214	0	TNF Receptor Superfamily Member 10b	TRUE	8p21.3	8	22877646	22926544	23020133	23069031	6.81281934679335	0.420626262036412	6.82717841286307	0.416762324434677	6.79359415277778	0.425275934403944	0.0417585547115994
19	PRSS27	PRSS27	ENSG00000172382	Q9BQR3	OID00397	1.61245	0	Serine Protease 27	TRUE	16p13.3	16	2762423	2770225	2712418	2720551	9.95752	0.416229132038278	9.95012208506224	0.424666720405114	9.96742498611111	0.404738289593244	0.526641352089352
20	TIE2	TEK	ENSG00000120156	Q02763	OID00398	0.73324	0	TEK Receptor Tyrosine Kinase	TRUE	9p21.2	9	27109139	27230176	27109141	27230178	8.38136281472684	0.242439957038399	8.38219118257261	0.244389101033365	8.38025372222222	0.239970436877707	0.866904448139426
21	TF	F3	ENSG00000117525	P13726	OID00399	0.84196	0	Coagulation Factor III, Tissue Factor	TRUE	1p21.3	1	94994729	95007315	94529173	94541759	6.70270848574822	0.366129599500241	6.68383132780083	0.341625562501119	6.72798290277778	0.395408904896607	0.0605267806286625
22	IL1RL2	IL1RL2	ENSG00000115598	Q9HB29	OID00400	1.10997	0	Interleukin 1 Receptor Like 2	TRUE	2q12.1	2	102803433	102856462	102186973	102242910	5.23748366389549	0.461403464988681	5.11255281120332	0.450692169536938	5.40475219444445	0.421106514984787	1.0155942477638e-40
23	PDGF_subunit_B	PDGFB	ENSG00000100311	P01127	OID00401	1.26573	0	Platelet Derived Growth Factor Subunit B	TRUE	22q13.1	22	39619364	39640987	39223359	39244982	11.4763705700713	0.17484396081111	11.464836659751	0.184155003559717	11.4918131944444	0.160370639296396	0.00152885084585029
24	IL_27	IL27	ENSG00000197272	Q8NEV9	OID00402	1.37778	0	Interleukin 27	TRUE	16p12.1-p11.2	16	28510683	28518155	28499362	28526730	6.95584148456057	0.412252448602673	6.93138721991701	0.42818306308436	6.98858302777778	0.387789814044994	0.0016738997109947
25	IL_17D	IL17D	ENSG00000172458	Q8TAD2	OID00403	1.26467	0	Interleukin 17D	TRUE	13q12.11	13	21275652	21297237	20701513	20723098	2.92181125890736	0.358801837912079	2.8891021473029	0.377162882373306	2.965605125	0.327816880869513	4.91090991636117e-09
26	CXCL1	CXCL1	ENSG00000163739	P09341	OID00404	3.19372	0	C-X-C Motif Chemokine Ligand 1	TRUE	4q13.3	4	74735110	74737025	73869393	73871308	11.2275876068884	0.513374609103958	11.1473364522822	0.528161461405393	11.3350349861111	0.472331175401234	4.22571287287061e-15
27	LOX_1	OLR1	ENSG00000173391	P78380	OID00405	2.29355	0	Oxidized Low Density Lipoprotein Receptor 1	TRUE	12p13.2	12	10310900	10324731	10158301	10172138	10.1609448634204	0.507018019394315	10.15766593361	0.497439059837258	10.1653349861111	0.519882632744093	0.56132580216357
28	Gal_9	LGALS9	ENSG00000168961	O00182	OID00406	1.05378	0	Galectin 9	TRUE	17q11.2	17	25958214	25976586	27629798	27649560	9.22615880047506	0.327092293999608	9.18748219917012	0.31601202716333	9.27794247222222	0.334650954179901	4.73708009056024e-07
29	GIF	CBLIF	ENSG00000134812	P27352	OID00407	1.74241	1	Cobalamin Binding Intrinsic Factor	FALSE	11q12.1	11	59596746	59612972	59829268	59845501	8.04823304038005	1.03383516866227	8.04779159751037	1.01594334887835	8.04882408333333	1.05802699895418	0.477814971839878
30	SCF	KITLG	ENSG00000049130	P21583	OID00408	1.01198	0	KIT Ligand	TRUE	12q21.32	12	88886570	88974248	88492793	88580851	9.8160927672209	0.446006254672992	9.73588192946058	0.46735755733345	9.92348616666667	0.391028416031517	7.90906934973608e-19
31	IL18	IL18	ENSG00000150782	Q14116	OID00409	1.3444	0	Interleukin 18	TRUE	11q23.1	11	112013983	112034817	112143251	112164104	9.13544943586698	0.549204876735057	9.21935754149378	0.540648771767763	9.02310580555556	0.540792576326305	4.53616277182904e-14
32	FGF_21	FGF21	ENSG00000105550	Q9NSA1	OID00410	1.17754	0	Fibroblast Growth Factor 21	TRUE	19q13.33	19	49258781	49261587	48755524	48758333	7.87554750593824	1.38147170997036	7.96444895228216	1.42951010154869	7.75651834722222	1.30593783204143	0.00761327813508427
33	PIgR	PIGR	ENSG00000162896	P01833	OID00411	2.46162	0	Polymeric Immunoglobulin Receptor	TRUE	1q32.1	1	207101867	207119811	206928522	206946466	6.63678678741093	0.144623432046136	6.63361058091286	0.142683197156695	6.641039375	0.147173394271482	0.479324011808164
34	RAGE	AGER	ENSG00000204305	Q15109	OID00412	1.5366	0	Advanced Glycosylation End-Product Specific Receptor	TRUE	6p21.32	6	32148746	32152030	32180968	32184380	13.730663307601	0.441709521094436	13.667669813278	0.453307249425245	13.8150045972222	0.411135253253028	4.2574020180435e-13
35	SOD2	SOD2	ENSG00000112096	P04179	OID00413	1.01028	0	Superoxide Dismutase 2	TRUE	6q25.3	6	160090101	160183313	159669069	159762529	10.6970796733967	0.100691230575788	10.6982128526971	0.100340224848218	10.6955624722222	0.101209228040783	0.280434550112975
36	CTRC	CTRC	ENSG00000162438	Q99895	OID00414	1.4924	0	Chymotrypsin C	TRUE	1p36.21	1	15764939	15775737	15438442	15449247	10.7914055522565	0.776034186049813	10.7253486721992	0.801196530083578	10.879848375	0.732276112769793	6.04986430997311e-05
37	FGF_23	FGF23	ENSG00000118972	Q9GZV9	OID00415	1.87395	379	Fibroblast Growth Factor 23	TRUE	12p13.32	12	4477393	4488878	4368227	4379712	2.24948961704489	0.61230811361061	2.20956893153527	0.615952307653975	2.30293897931054	0.603697077545155	1.41712457365883e-06
38	SPON2	SPON2	ENSG00000159674	Q9BUD6	OID00416	0.49131	0	Spondin 2	TRUE	4p16.3	4	1160720	1202632	1166932	1208962	9.43996793942993	0.156251662720755	9.42708648340249	0.156065668805234	9.45721477777778	0.154938698037652	0.000170532495385638
39	GH	GH1	ENSG00000259384	P01241	OID00417	1.50811	0	Growth Hormone 1	TRUE	17q23.3	17	61994563	61996199	63917200	63918839	8.73312144299288	1.90535303395943	8.41320411825726	1.95792295555405	9.16145519444444	1.7442645802608	1.22631359091445e-14
40	FS	FST	ENSG00000134363	P19883	OID00418	1.40798	0	Follistatin	TRUE	5q11.2	5	52776459	52782964	53480338	53487134	11.5647393764846	0.450513141666443	11.5449572614108	0.461040783638899	11.5912254305556	0.434929903279178	0.0256602399794109
41	GLO1	GLO1	ENSG00000124767	Q04760	OID00419	0.82759	0	Glyoxalase I	TRUE	6p21.2	6	38643701	38670921	38675925	38703145	8.45317967933492	0.397452674688608	8.51406372406639	0.397459205199541	8.37166270833333	0.38282781707015	8.42401161798292e-15
42	CD84	CD84	ENSG00000066294	Q9UIB8	OID00420	1.65211	0	CD84 Molecule	TRUE	1q23.3	1	160510888	160549286	160541095	160579516	6.81843676365796	0.265880000329025	6.79320592323651	0.281308446985618	6.85221805555556	0.239764422694641	3.59057172988547e-05
43	PAPPA	PAPPA	ENSG00000182752	Q13219	OID00421	1.18744	0	Pappalysin 1	TRUE	9q33.1	9	118916070	119164600	116153752	116402321	3.96109106888361	0.610989501592308	4.08460133817427	0.596221880814837	3.79572454166667	0.591496419752277	2.75978985375381e-29
44	SERPINA12	SERPINA12	ENSG00000165953	Q8IW75	OID00422	1.87532	43	Serpin Family A Member 12	TRUE	14q32.13	14	94953616	94984181	94481651	94517844	3.71810891085615	1.08985372158753	3.53574756224066	1.05406051802097	3.96227049428022	1.08992064093027	7.58505897843935e-16
45	REN	REN	ENSG00000143839	P00797	OID00423	0.97814	0	Renin	TRUE	1q32.1	1	204123947	204135465	204154819	204190324	7.85835420833838	0.974346130394771	8.03771641078838	0.936377515450531	7.61820814839144	0.973115955150866	4.97812592204891e-19
46	DECR1	DECR1	ENSG00000104325	Q16698	OID00424	1.66447	0	2,4-Dienoyl-CoA Reductase 1	TRUE	8q21.3	8	91013705	91065861	90001405	90053633	4.66429898456057	0.619975300715908	4.7365651659751	0.640956321003826	4.56754259722222	0.577142601639113	1.0333283938226e-08
47	MERTK	MERTK	ENSG00000153208	Q12866	OID00425	1.51596	0	MER Proto-Oncogene, Tyrosine Kinase	TRUE	2q13	2	112656184	112787138	111898607	112029561	7.3416114608076	0.383527346058675	7.37347679460581	0.389921575361101	7.29894731944444	0.370796027444663	8.00311031034883e-05
48	KIM1	HAVCR1	ENSG00000113249	Q96D42	OID00426	1.8101	0	Hepatitis A Virus Cellular Receptor 1	TRUE	5q33.3	5	156456424	156486127	157028383	157069633	9.49146733372922	0.887098231738455	9.56281673236515	0.912554798858362	9.39593841666667	0.843038432575878	0.000244091571576138
49	THBS2	THBS2	ENSG00000186340	P35442	OID00427	0.42062	0	Thrombospondin 2	TRUE	6q27	6	169615880	169653941	169215780	169254050	6.53619238123515	0.196364219294108	6.52000608921162	0.198868477757651	6.55786402777778	0.190958892298503	0.000254595026775436
50	TM	THBD	ENSG00000178726	P07204	OID00428	2.46522	0	Thrombomodulin	TRUE	20p11.21	20	23026270	23030309	23045633	23049672	10.4161788895487	0.328530599745106	10.4264512551867	0.329756596083572	10.4024253333333	0.32660469544706	0.060125229451077
51	VSIG2	VSIG2	ENSG00000019102	Q96IQ7	OID00429	1.67913	0	V-Set And Immunoglobulin Domain Containing 2	TRUE	11q24.2	11	124617370	124622151	124747474	124752255	4.86793235748219	0.577609201323695	4.8565652593361	0.566383939277667	4.88315163888889	0.592360348641007	0.367580523164188
52	AMBP	AMBP	ENSG00000106927	P02760	OID00430	1.20491	0	Alpha-1-Microglobulin/Bikunin Precursor	TRUE	9q32	9	116822407	116840580	114060127	114078328	8.45660330416223	0.19162864940002	8.45595560165975	0.183213191853393	8.45747050584611	0.202475338101472	0.984402477300334
53	PRELP	PRELP	ENSG00000188783	P51888	OID00431	1.07009	0	Proline And Arginine Rich End Leucine Rich Repeat Protein	TRUE	1q32.1	1	203444934	203460480	203475806	203491352	9.19013221620663	0.210669478052367	9.17444198349789	0.211502717004248	9.21113969444444	0.207846602356575	0.000490022637630544
54	HO_1	HMOX1	ENSG00000100292	P09601	OID00432	1.49487	0	Heme Oxygenase 1	TRUE	22q12.3	22	35777089	35790200	35380361	35394214	12.0527360688836	0.389430820367717	12.115575186722	0.398033682513987	11.9686014722222	0.361124758532408	5.9390855761137e-14
55	XCL1	XCL1	ENSG00000143184	P47992	OID00433	0.83852	0	X-C Motif Chemokine Ligand 1	TRUE	1q24.2	1	168545843	168551307	168574128	168582069	6.2066085807601	0.577133770801732	6.20450705394191	0.579972477840074	6.20942229166667	0.5737015095282	0.882349650852978
56	IL16	IL16	ENSG00000172349	Q14005	OID00434	0.96768	0	Interleukin 16	TRUE	15q25.1	15	81489220	81606399	81159575	81314058	7.9012797327791	0.472207973726712	7.8967476659751	0.483929154624287	7.90734766666667	0.456306696459486	0.681479281793835
57	SORT1	SORT1	ENSG00000134243	Q99523	OID00435	1.18566	0	Sortilin 1	TRUE	1p13.3	1	109852197	109940540	109309568	109397940	9.81294589667458	0.230827813747848	9.80526880705394	0.244605468916819	9.82322466666667	0.210707089811824	0.273674762822789
58	CEACAM8	CEACAM8	ENSG00000124469	P31997	OID00436	1.55304	0	CEA Cell Adhesion Molecule 8	TRUE	19q13.2	19	43084395	43099076	42580243	42595157	7.53129384204276	0.609252164003042	7.57584480290456	0.605162272452658	7.47164505555556	0.610026874961912	0.000197797070296058
59	PTX3	PTX3	ENSG00000163661	P26022	OID00437	0.86346	0	Pentraxin 3	TRUE	3q25.32	3	157154639	157161422	157436850	157443633	4.09714514251781	0.415400492368571	4.06959840248963	0.417064596509983	4.13402716666667	0.410563722520075	0.000727145040003309
60	PSGL_1	SELPLG	ENSG00000110876	Q14242	OID00438	0.78699	0	Selectin P Ligand	TRUE	12q24.11	12	109015671	109027670	108621895	108633894	5.16538653800475	0.280233735297663	5.16472084024896	0.286538393994665	5.16627783333333	0.271758784268347	0.889348993774031
61	CCL17	CCL17	ENSG00000102970	Q92583	OID00439	1.29245	0	C-C Motif Chemokine Ligand 17	TRUE	16q21	16	57438679	57449975	57396076	57416063	10.6551221377672	0.821843005688068	10.6306208817427	0.838579827243019	10.6879265972222	0.798286750070722	0.130734243793955
62	CCL3	CCL3	ENSG00000277632	P10147	OID00440	1.13412	0	C-C Motif Chemokine Ligand 3	TRUE	17q12	17	34415602	34417489	36088256	36090169	8.13286374109264	0.618146689418263	8.13034949170124	0.607298386988375	8.13623004166667	0.632789380091626	0.969376240265683
63	MMP7	MMP7	ENSG00000137673	P09237	OID00441	2.04796	0	Matrix Metallopeptidase 7	TRUE	11q22.2	11	102391239	102401478	102520508	102530750	12.3131736401425	0.368607353655265	12.2964540041494	0.371625194678702	12.335559375	0.363581808579867	0.0184674321598894
64	IgG_Fc_receptor_II_b	FCGR2B	ENSG00000072694	P31994	OID00442	1.71044	8	Fc Gamma Receptor IIb	TRUE	1q23.3	1	161617033	161648444	161647243	161678654	4.0689715023753	0.969125707383355	4.10106386929461	0.980018982155402	4.02600338888889	0.953332654965781	0.094321238901247
65	ITGB1BP2	ITGB1BP2	ENSG00000147166	Q9UKP3	OID00443	2.55076	555	Integrin Subunit Beta 1 Binding Protein 2	TRUE	Xq13.1	23	70521600	70525221	71301750	71305371	2.76172124703088	0.454032390329631	2.78194626556017	0.46347960162883	2.73464219444444	0.439931712376869	0.005178288340426
66	DCN	DCN	ENSG00000011465	P07585	OID00444	0.86352	0	Decorin	TRUE	12q21.33	12	91534261	91576594	91140484	91183217	5.51316070071259	0.257651768924052	5.52356364107884	0.267922657726981	5.49923231944444	0.242708411660409	0.0863513292956122
67	Dkk_1	DKK1	ENSG00000107984	O94907	OID00445	3.19602	0	Dickkopf WNT Signaling Pathway Inhibitor 1	TRUE	10q21.1	10	54074041	54077417	52314281	52318042	10.3912673752969	0.321711730338194	10.3512089937759	0.339124957443236	10.4449010972222	0.288440498260979	2.03283403494055e-08
68	LPL	LPL	ENSG00000175445	P06858	OID00446	2.15648	0	Lipoprotein Lipase	TRUE	8p21.3	8	19796764	19824770	19901717	19967259	10.3753406828979	0.480342969426708	10.2267054979253	0.467509072048472	10.5743466805556	0.421976539291712	1.09160266052219e-57
69	PRSS8	PRSS8	ENSG00000052344	Q16651	OID00447	3.56272	0	Serine Protease 8	TRUE	16p11.2	16	31142754	31147048	31131433	31135727	9.85776523752969	0.350393974840322	9.93329010373444	0.325519454698991	9.75664583333333	0.357181163614919	2.34608802800305e-24
70	AGRP	AGRP	ENSG00000159723	O00253	OID00448	0.8595	0	Agouti Related Neuropeptide	TRUE	16q22.1	16	67516474	67517450	67482571	67483547	5.25576372327791	0.476054697239933	5.29827141078838	0.484437213249108	5.19885065277778	0.458795619486882	1.90238823317085e-06
71	HB_EGF	HBEGF	ENSG00000113070	Q99075	OID00449	1.06971	0	Heparin Binding EGF Like Growth Factor	TRUE	5q31.3	5	139712428	139726188	140332843	140346603	8.16743525534442	0.623039397755702	8.09818526970954	0.635829185928365	8.26015329166667	0.593392911066665	1.20197467114998e-07
72	GDF_2	GDF2	ENSG00000263761	Q9UK05	OID00450	1.64943	0	Growth Differentiation Factor 2	FALSE	10q11.22	10	48411774	48416908	47322454	47327588	9.61953819477435	0.557260807799859	9.51880867219917	0.571508194056415	9.75440383333333	0.507556920621677	4.65633492528665e-18
73	FABP2	FABP2	ENSG00000145384	P12104	OID00451	1.31415	0	Fatty Acid Binding Protein 2	TRUE	4q26	4	120238405	120243293	119317250	119322138	9.0762425	0.836608796436525	9.05005677385892	0.827748703650626	9.11130227777778	0.847636823048065	0.103448596072515
74	THPO	THPO	ENSG00000090534	P40225	OID00452	0.57376	0	Thrombopoietin	TRUE	3q27.1	3	184089723	184097476	184371935	184381968	5.44643247030879	0.395701393680562	5.39158780082988	0.404528973040521	5.51986338888889	0.371353607105219	3.74392766985265e-11
75	MARCO	MARCO	ENSG00000019169	Q9UEW3	OID00453	1.51378	0	Macrophage Receptor With Collagenous Structure	TRUE	2q14.2	2	119699770	119752236	118942180	118994664	7.14401090261283	0.212140205939122	7.1285398340249	0.209523059093687	7.16472494444444	0.213994237316629	0.000842735186809069
76	GT	FABP6	ENSG00000170231	P51161	OID00454	1.10265	0	Fatty Acid Binding Protein 6	TRUE	5q33.3	5	159614388	159665729	160187367	160238735	3.01851657957245	0.696625933138291	2.97685413900415	0.698118292234805	3.07429795833333	0.691181383328934	0.000332508710478594
77	BNP	NPPB	ENSG00000120937	P16860	OID00455	1.34085	604	Natriuretic Peptide B	TRUE	1p36.22	1	11917521	11919002	11857464	11858945	1.86445229809976	1.00912771177477	1.91690918049793	1.08252311070232	1.79421836111111	0.897502493480186	0.128925168009511
78	MMP12	MMP12	ENSG00000262406	P39900	OID00456	1.24974	0	Matrix Metallopeptidase 12	TRUE	11q22.2	11	102733467	102745712	102862736	102874982	8.23829001781473	0.786385807964421	8.27762702282158	0.778837174872649	8.18562213888889	0.793873553725314	0.0118302215285094
79	ACE2	ACE2	ENSG00000130234	Q9BYF1	OID00457	1.1659	0	Angiotensin Converting Enzyme 2	TRUE	Xp22.2	23	15536320	15620281	15494566	15607236	4.68517301068884	0.751341566502788	4.86696306016598	0.74516338707316	4.44177633333333	0.688512604845635	2.99087581038107e-35
80	PD_L2	PDCD1LG2	ENSG00000197646	Q9BQ51	OID00458	1.0817	0	Programmed Cell Death 1 Ligand 2	TRUE	9p24.1	9	5510531	5571282	5510438	5571282	4.14600788004751	0.372096895378297	4.14059700207469	0.376124519045823	4.15325244444444	0.366770530078322	0.432078294999891
81	CTSL1	CTSL	ENSG00000135047	P07711	OID00459	0.89904	0	Cathepsin L	TRUE	9q21.33	9	90341034	90346384	87724051	87731469	8.39139971496437	0.323451550876276	8.41155060165975	0.333713675127704	8.36441991666667	0.307344340040047	0.00379958074992235
82	hOSCAR	OSCAR	ENSG00000170909	Q8IYS5	OID00460	1.73284	0	Osteoclast Associated Ig-Like Receptor	TRUE	19q13.42	19	54597933	54606000	54094668	54102692	11.5648773871734	0.202639828946636	11.5532876659751	0.2096042878532	11.5803947361111	0.191972437320804	0.0341907399399327
83	TNFRSF13B	TNFRSF13B	ENSG00000240505	O14836	OID00461	1.04343	0	TNF Receptor Superfamily Member 13B	TRUE	17p11.2	17	16842395	16875432	16929816	16972118	10.2488758729216	0.419034456314015	10.2483401037344	0.413314400426587	10.2495932083333	0.426860625102933	0.907867339678771
84	TGM2	TGM2	ENSG00000198959	P21980	OID00462	1.6685	0	Transglutaminase 2	TRUE	20q11.23	20	36755787	36794910	38127385	38166578	7.28022010095012	0.492763849744141	7.3587630186722	0.475277574057507	7.17505986111111	0.496468254571707	5.08266401395522e-14
85	LEP	LEP	ENSG00000174697	P41159	OID00463	1.33517	0	Leptin	TRUE	7q32.1	7	127881331	127897682	128241201	128257629	7.50349621213958	1.15748154180119	6.9495281846473	1.05797295797215	8.24519784894868	0.821316618967505	3.18223292972142e-127
86	CA5A	CA5A	ENSG00000174990	P35218	OID00464	1.54633	17	Carbonic Anhydrase 5A	TRUE	16q24.2	16	87915155	87970135	87881546	87936580	3.5255636935867	1.09709916382618	3.66548179460581	1.1042176788109	3.33822890277778	1.05967993682339	3.49424047034681e-10
87	HSP_27	HSPB1	ENSG00000106211	P04792	OID00465	3.19323	0	Heat Shock Protein Family B (Small) Member 1	TRUE	7q11.23	7	75931990	75933609	76302673	76304295	9.73520601543943	0.485943454502879	9.71498482365145	0.486013190077443	9.76227994444444	0.48486744928866	0.0315891805544565
88	CD4	CD4	ENSG00000010610	P01730	OID00466	0.97146	0	CD4 Molecule	TRUE	12p13.31	12	6898694	6929965	6786858	6820799	5.37893407957245	0.346484171523754	5.37625197095436	0.353877221454616	5.382525125	0.336542336116679	0.325476631793637
89	NEMO	IKBKG	ENSG00000269335	Q9Y6K9	OID00467	1.32283	0	Inhibitor Of Nuclear Factor Kappa B Kinase Regulatory Subunit Gamma	TRUE	Xq28	23	153769453	153793261	154541199	154565046	7.24458283885189	0.565135287439653	7.28786511475786	0.5747705181468	7.18663268055556	0.547025557251331	0.000413555961755167
90	VEGFD	VEGFD	ENSG00000165197	O43915	OID00468	0.55013	0	Vascular Endothelial Growth Factor D	TRUE	Xp22.2	23	15363718	15402535	15345596	15384413	8.69664014251782	0.433106756801537	8.65744989626556	0.483995153255331	8.74911152777778	0.347157483119864	4.61091465316037e-05
91	PARP_1	PARP1	ENSG00000143799	P09874	OID00469	1.62964	129	Poly(ADP-Ribose) Polymerase 1	TRUE	1q42.12	1	226548392	226595794	226360210	226408154	2.36858824788478	0.596424707687539	2.37806683551657	0.589666319057492	2.35589747222222	0.605534340654222	0.41747369590537
92	HAOX1	HAO1	ENSG00000101323	Q9UJM8	OID00470	1.5425	0	Hydroxyacid Oxidase 1	TRUE	20p12.3	20	7863632	7921105	7882985	7940458	7.0366982304038	1.50187380532441	7.26818839211618	1.51122944647422	6.726758625	1.4328161996185	6.57458435629697e-14
