Parameter	Gene	ENSG	FullName	Cytoband	chr	start_hg19	stop_hg19	start_hg38	stop_hg38	GE_ok	Sample size	mean_combined	sd_combined	mean_males	sd_males	mean_females	sd_females	pval_males_females
DLK_1	DLK1	ENSG00000185559	Protein delta homolog 1	14q32.2	14	101192042	101201539	100725705	100738224	no	2014	5.85112536246276	0.652169064748967	5.83950802884615	0.647510616261224	5.86352990759754	0.657212678617159	0.413065125534685
EGFR	EGFR	ENSG00000146648	Epidermal growth factor receptor	7p11.2	7	55086714	55324313	55019017	55211628	yes	2014	3.03416908639523	0.225400700004907	3.00611585576923	0.228842116192041	3.06412325462012	0.217828066073579	3.49912918725169e-08
Ep_CAM	EPCAM	ENSG00000119888	Epithelial cell adhesion molecule	2p21	2	47572297	47614740	47345158	47387601	yes	2014	5.30716213008938	1.06482446472313	5.13827265384615	1.04049827010648	5.487495862423	1.06144404002232	2.12579306757887e-12
EPHB4	EPHB4	ENSG00000196411	Ephrin type-B receptor 4	7q22.1	7	100400187	100425143	100802565	100827523	yes	2014	5.47293974677259	0.322598236246719	5.49408126923077	0.323139868195263	5.45036563655031	0.320648167261399	0.0012124344440683
JAM_A	F11R	ENSG00000158769	Junction adhesion molecule A	1q23.3	1	160965001	160991138	160995211	161021343	yes	2014	5.80316265143992	0.812870443406791	5.71396825	0.799108183030405	5.89840102669405	0.817033411473297	1.03027173846681e-06
FABP4	FABP4	ENSG00000170323	Fatty acid-binding protein, adipocyte	8q21.13	8	82390654	82395498	81478419	81483236	yes	2014	5.32623864448858	0.798551130055842	5.02795120192308	0.705971901721865	5.64473858316222	0.768392025691706	1.2700588015705e-73
FAS	FAS	ENSG00000026103	Tumor necrosis factor receptor superfamily member 6	10q23.31	10	90750288	90775542	88990531	89017059	yes	2014	5.70871930983118	0.408581717134556	5.72861675961539	0.39144150538441	5.68747357289528	0.425297879244408	0.0080313080129921
GDF_15	GDF15	ENSG00000130513	Growth/differentiation factor 15	19p13.11	19	18485541	18499986	18374731	18389176	no	2014	5.28485874379345	0.646273557256294	5.36263054807692	0.644042367220334	5.20181698151951	0.638596137052602	2.96868226049737e-11
GP6	GP6	ENSG00000088053	Platelet glycoprotein VI	19q13.42	19	55525073	55549632	55013705	55038264	yes	2014	2.51738695630586	0.614032281999188	2.43355168269231	0.605874878673841	2.60690305954825	0.610340673272436	1.11860194181015e-10
GRN	GRN	ENSG00000030582	Granulins	17q21.31	17	42422491	42430470	44345246	44353106	yes	2014	5.22890770109235	0.325286833828429	5.20048350961539	0.327101981222996	5.25925796714579	0.320733708241011	3.86753375919883e-05
PLC	HSPG2	ENSG00000142798	Perlecan	1p36.12	1	22148737	22263790	21822244	21937310	no	2014	7.89189808341609	0.316119076510939	7.90251238461539	0.310563994876815	7.88056453798768	0.321717869949036	0.056834355454591
ICAM_2	ICAM2	ENSG00000108622	Intercellular adhesion molecule 2	17q23.3	17	62079954	62097994	64002594	64020634	yes	2014	4.88874459285005	0.41293777728984	4.88655699038462	0.419091864895787	4.8910804312115	0.406465956801628	0.810780361923692
IGFBP_1	IGFBP1	ENSG00000146678	Insulin-like growth factor-binding protein 1	7p12.3	7	45927956	45933267	45888360	45893660	no	2014	5.41262264150943	1.00312717460033	5.22529911538462	1.01496223118396	5.61263954825462	0.95091521888402	6.61694095570979e-16
IGFBP_2	IGFBP2	ENSG00000115457	Insulin-like growth factor-binding protein 2	2q35	2	217497551	217529159	216632828	216664436	yes	2014	7.48396138033764	0.719319239910829	7.45255973076923	0.709635999622399	7.517490862423	0.728387326512145	0.0230649641135095
IGFBP_7	IGFBP7	ENSG00000163453	Insulin-like growth factor-binding protein 7	4q12	4	57896939	57976551	57030773	57110385	yes	2014	7.35303202581927	0.399505974441153	7.41553513461539	0.39423825822087	7.28629359342916	0.394461218002922	1.7863708555396e-13
IL_17RA	IL17RA	ENSG00000177663	Interleukin-17 receptor A	22q11.1	22	17565844	17596584	17084954	17115694	yes	2014	3.88869275571003	0.507159275908851	3.87336271153846	0.508170572879488	3.90506159137577	0.505825091020902	0.190221122066032
IL_18BP	IL18BP	ENSG00000137496	Interleukin-18-binding protein	11q13.4	11	71709587	71716761	71998613	72005715	yes	2014	6.12420590367428	0.370071376690439	6.16033996153846	0.35797227624195	6.08562333675565	0.378964422389835	1.77792090903038e-06
IL_1RT1	IL1R1	ENSG00000115594	Interleukin-1 receptor type 1	2q11.2-q12.1	2	102681004	102796334	102064544	102179874	yes	2014	6.37598156901688	0.310450494907956	6.39198985576923	0.308954585474835	6.35888853182752	0.311290226066946	0.00727160019319867
IL_1RT2	IL1R2	ENSG00000115590	Interleukin-1 receptor type 2	2q11.2	2	102608306	102645006	101991960	102028544	yes	2014	5.66509157398213	0.357807477117135	5.71624203846154	0.372162460937644	5.61047506160164	0.333445222894353	3.03906166694766e-11
ST2	IL1RL1	ENSG00000115602	ST2 protein	2q12.1	2	102927962	102968497	102311502	102352037	yes	2014	4.17453572492552	0.572475026180829	4.36841696153846	0.551814528197243	3.96751674537988	0.519412383095981	1.62097558711649e-55
IL2_RA	IL2RA	ENSG00000134460	Interleukin-2 receptor subunit alpha	10p15.1	10	6052652	6104333	6010689	6062370	yes	2014	3.31165781032771	0.451712873974584	3.33592131730769	0.453577392948896	3.28575016427105	0.448498215241709	0.0168652552128428
IL_6RA	IL6R	ENSG00000160712	Interleukin-6 receptor subunit alpha	1q21.3	1	154377669	154441926	154405193	154469450	yes	2014	11.7504659334657	0.403314180275039	11.7343529903846	0.396967981645841	11.7676707186858	0.409486189149412	0.0631741523314358
ITGB2	ITGB2	ENSG00000160255	Integrin beta-2	21q22.3	21	46305868	46351904	44885953	44931989	yes	2014	5.33221327209533	0.437325050950708	5.25491403846154	0.425976670224093	5.41475044147844	0.434402329922441	1.07663039958796e-18
KLK6	KLK6	ENSG00000167755	Kallilrein-6	19q13.41	19	51461887	51472929	50958631	50969673	yes	2014	2.21251783018868	0.352876261972937	2.20596835576923	0.347345080736889	2.21951110882957	0.358734711928248	0.520024302371752
LDL_receptor	LDLR	ENSG00000130164	Low-density lipoprotein receptor	19p13.2	19	11200038	11244506	11089462	11133820	yes	2014	4.33294750248262	0.586307577743959	4.31421140384615	0.581360990628369	4.35295319301848	0.591186760228479	0.128574341801651
Gal_3	LGALS3	ENSG00000131981	Galectin-3	14q22.3	14	55590828	55612148	55124110	55145423	no	2014	3.19987461767627	0.359120103177527	3.10600835576923	0.345393618503406	3.30010142710472	0.34634221904858	3.23086773164899e-35
Gal_4	LGALS4	ENSG00000171747	Galectin-4	19q13.2	19	39292311	39304004	38801671	38812945	no	2014	3.77219286991063	0.552058513072431	3.75963340384615	0.573201497239231	3.78560338809035	0.528514940215366	0.150975341514795
LTBR	LTBR	ENSG00000111321	Lymphotoxin-beta receptor	12p13.31	12	6484211	6500734	6375045	6391571	yes	2014	3.48290668321748	0.344289246828579	3.49053603846154	0.346372784171205	3.47476034907598	0.342040396376845	0.243751860862731
MB	MB	ENSG00000198125	Myoglobin	22q12.3	22	36002811	36033998	35606764	35637951	yes	2014	7.53021076961271	0.604079506506368	7.71886147115385	0.58879533771798	7.32877675564682	0.553261973863075	5.2171548645668e-57
MEPE	MEPE	ENSG00000152595	Matrix extracellular phosphoglycoprotein	4q22.1	4	88742563	88767969	87821411	87846817	no	2014	5.42497889771599	0.448516218341352	5.49704689423077	0.444420360171109	5.34802744353183	0.440227126143697	1.43738999186703e-13
MMP_2	MMP2	ENSG00000087245	Matrix metalloproteinase-2	16q12.2	16	55423612	55540603	55389700	55506691	no	2014	3.97454789473684	0.376025912849056	3.97323925	0.379768018052761	3.97594521560575	0.372178607452562	0.503596970415609
MMP_3	MMP3	ENSG00000149968	Matrix metalloproteinase-3	11q22.2	11	102706528	102714534	102835801	102843609	no	2014	7.45410693644489	0.706791532140569	7.84339978846154	0.590588537852445	7.0384348973306	0.571058738773732	3.05655998121136e-157
MMP_9	MMP9	ENSG00000100985	Matrix metalloproteinase-9	20q13.12	20	44637547	44645200	46008908	46016561	yes	2014	4.61960056107249	0.814631497657433	4.66930871153846	0.822143528558136	4.56652409650924	0.803564520898745	0.00331342876501818
MPO	MPO	ENSG00000005381	Myeloperoxidase	17q22	17	56347217	56358296	58269855	58280935	yes	2014	3.12289356504469	0.572198262134523	3.08675267307692	0.550842561085072	3.16148342915811	0.592005643180711	0.00188917337097941
Notch_3	NOTCH3	ENSG00000074181	Neurogenic locus notch homolog protein 3	19p13.12	19	15270444	15311792	15159038	15200995	no	2014	5.09671637040715	0.418656433828592	5.03842505769231	0.420163656444625	5.15895760780288	0.4081586627954	9.04449866553455e-12
NT_proBNP	NPPB	ENSG00000120937	N-terminal prohormone brain natriuretic peptide	1p36.22	1	11917521	11918992	11857464	11858945	no	2014	3.27081844091361	1.09831611274759	3.08119178846154	1.1321672043363	3.47329453798768	1.02344475473179	7.38917161025043e-19
PCSK9	PCSK9	ENSG00000169174	Proprotein convertase subtilisin/kexin type 9	1p32.3	1	55505149	55530526	55039447	55064852	no	2014	3.25283602284012	0.40525565974323	3.18252527884615	0.405876996983787	3.32791114989733	0.391071202782495	4.52615792277155e-16
PDGF_subunit_A	PDGFA	ENSG00000197461	Platelet-derived growth factor subunit A	7p22.3	7	536895	559933	497258	520296	yes	2014	3.03526326216485	0.667287053465774	2.92982340384615	0.6537531695888	3.14784791581109	0.663513186302268	1.17860590818582e-13
PECAM_1	PECAM1	ENSG00000261371	Platelet endothelial cell adhesion molecule	17q23.3	17	62396775	62404856	64319415	64413776	no	2014	5.34708465739821	0.597077279485704	5.30347372115385	0.592450383439518	5.39365074948665	0.598783197036619	0.000958294731105811
PGLYRP1	PGLYRP1	ENSG00000008438	Peptidoglycan recognition protein 1	19q13.32	19	46522411	46526556	46019153	46023053	yes	2014	6.81313246276068	0.469488635725723	6.82663249038462	0.447358972611896	6.79871764887064	0.491842567457016	0.0341223921807839
PI3	PI3	ENSG00000124102	Elafin	20q13.12	20	43803517	43805185	45174902	45176544	yes	2014	2.0178283714002	0.559881424288587	2.192259875	0.556291720522541	1.83157707392197	0.500820533532082	4.06690238797333e-50
t_PA	PLAT	ENSG00000104368	Tissue-type plasminogen activator	8q11.21	8	42032236	42065242	42174718	42207676	no	2014	6.74068049155909	0.643906094119877	6.83045802884615	0.594690133707809	6.6448194661191	0.679941913786207	1.85454266131776e-09
uPA	PLAU	ENSG00000122861	Urokinase-type plasminogen activator	10q22.2	10	75668935	75677259	73909177	73917496	yes	2014	4.46897048659384	0.381158657698029	4.43768622115385	0.379435256954166	4.50237463039014	0.380352305247528	5.62547043268492e-06
U_PAR	PLAUR	ENSG00000011422	Urokinase plasminogen activator surface receptor	19q13.31	19	44150247	44174699	43646095	43670547	yes	2014	5.01906139026812	0.412405224092604	4.98247596153846	0.411908752667387	5.0581259137577	0.409550495220543	6.6182784986137e-06
PON3	PON3	ENSG00000105852	Paraoxonase	7q21.3	7	94989184	95025687	95359872	95396375	no	2014	6.27119713008938	0.654994246650808	6.169165	0.639487451450501	6.38014314168378	0.654128730806076	1.81430191950563e-13
PRTN3	PRTN3	ENSG00000196415	Myeloblastin	19p13.3	19	840963	848175	840999	848175	yes	2014	3.72853439920556	0.605111154333211	3.71124474038462	0.581432878024012	3.74699563655031	0.629186942569091	0.550970940618352
RARRES2	RARRES2	ENSG00000106538	Retinoic acid receptor responder protein 2	7q36.1	7	150035407	150038763	150338317	150341662	no	2014	11.0654693644489	0.36782591110277	11.0135569615385	0.3618067663586	11.1208994455852	0.366290182621642	2.37611875534235e-11
RETN	RETN	ENSG00000104918	Resistin	19p13.2	19	7733930	7735340	7669049	7670455	yes	2014	5.85547109235353	0.499499155612822	5.83145648076923	0.479834297223162	5.88111297741273	0.51869645937554	0.0697382504319935
SCGB3A2	SCGB3A2	ENSG00000164265	Secretoglobin family 3A member 2	5q32	5	147250245	147261756	147870682	147882191	yes	2014	2.24146241807349	0.958165357534127	2.11884902884615	0.924287910679261	2.37238431211499	0.976675729855349	7.07653019720641e-15
SELE	SELE	ENSG00000007908	E-selectin	1q24.2	1	169691781	169733846	169722640	169764705	yes	2014	11.8459570258193	0.618076174260035	11.9314222884615	0.616411389693711	11.7547004825462	0.607010494501552	4.81847036148049e-10
SELP	SELP	ENSG00000174175	P-selectin	1q24.2	1	169558087	169599431	169588849	169630193	yes	2014	10.3649868917577	0.650931389449046	10.3283757980769	0.633481637302882	10.4040788193018	0.667171416309122	0.0117553181171625
PAI	SERPINE1	ENSG00000106366	Plasminogen activator inhibitor 1	7q22.1	7	100770370	100782547	101127104	101139247	yes	2014	5.68393594836147	0.737380357859597	5.660095875	0.74082498913395	5.70939146817249	0.733208847442343	0.0983912543475918
PSP_D	SFTPD	ENSG00000133661	Pulmonary surfactant-associated protein D	10q22.3	10	81697496	81742370	79937740	79982614	yes	2014	3.15928664349553	0.746465877007228	3.16494539423077	0.771193822717188	3.15324444558522	0.71947132012519	0.647846214306621
SHPS_1	SIRPA	ENSG00000198053	Tyrosin-protein phosphatase non-receptor type substrate 1	20p13	20	1874813	1920543	1894167	1940592	yes	2014	3.44225285004965	0.430235431998072	3.42789417307692	0.426713354515574	3.45758449691992	0.433658930672016	0.122083803730193
SPON1	SPON1	ENSG00000262655	Spondin-1	11p15.2	11	13983914	14289656	13962723	14268133	yes	2014	1.4861156305859	0.285819719535557	1.46558391346154	0.277405847677845	1.50803861396304	0.293096462581922	0.000101863763273608
OPN	SPP1	ENSG00000118785	Osteopontin	4q22.1	4	88896802	88904563	87975650	87983426	yes	2014	7.22875700595829	0.506307639054509	7.20891636538462	0.490595217271317	7.24994208418891	0.521983824931878	0.0531759569327288
TFF3	TFF3	ENSG00000160180	Trefoil factor 3	21q22.3	21	43731777	43735761	42311667	42315651	yes	2014	0.681245205990763	0.0557241454585909	0.67025094017407	0.0380086008463991	0.69298446312563	0.0679292673284611	8.63694126716332e-13
TFPI	TFPI	ENSG00000003436	Tissue factor pathway inhibitor	2q32.1	2	188328957	188430487	187464230	187565760	yes	2014	8.65113909632572	0.376646755554623	8.65399724038462	0.362959107487554	8.64808727926078	0.390897271953711	0.659241128502357
TR	TFRC	ENSG00000072274	Transferrin receptor protein 1	3q29	3	195754054	195809060	196027183	196082096	yes	2014	5.54367789970209	0.551806869357344	5.49793797115385	0.547602889489902	5.59251724845996	0.552372365372081	8.29615269553708e-05
TIMP4	TIMP4	ENSG00000157150	Metalloproteinase inhibitor 4	3p25.2	3	12194551	12200851	12153068	12158912	no	2014	3.22774252730884	0.486506562355556	3.14573450961538	0.486007790721024	3.31530755646817	0.471790130617396	5.24773658582802e-18
TNFRSF10C	TNFRSF10C	ENSG00000173535	Tumor necrosis factor receptor superfamily member 10C	8p21.3	8	22941868	22974950	23102921	23117445	yes	2014	6.53342214498511	0.545048746408445	6.52510777884615	0.541909004737476	6.54229990759754	0.54852067666776	0.611551131828336
OPG	TNFRSF11B	ENSG00000164761	Osteoprotegerin	8q24.12	8	119935796	119964439	118923557	118951885	no	2014	3.47757452333664	0.384038398682785	3.42109103846154	0.376480703660057	3.5378854312115	0.383045043775689	7.06485163151542e-13
TNFRSF14	TNFRSF14	ENSG00000157873	Tumor necrosis factor receptor superfamily member 14	1p36.32	1	2487078	2496821	2555639	2565382	yes	2014	4.60435553128103	0.382838750798241	4.60658729807692	0.375903510872591	4.60197253593429	0.390287235506383	0.600464670846175
TNF_R1	TNFRSF1A	ENSG00000067182	Tumor necrosis factor receptor 1	12p13.31	12	6437923	6451283	6328757	6342114	yes	2014	6.29975251241311	0.403838329956088	6.32660919230769	0.396285786826058	6.27107597535934	0.41001432417715	0.000815435210775895
TNF_R2	TNFRSF1B	ENSG00000028137	Tumor necrosis factor receptor 2	1p36.22	1	12227060	12269285	12166991	12209228	yes	2014	5.79920797418074	0.411099697033349	5.82349954807692	0.403953701056442	5.77327035934292	0.417243253847153	0.00460403045754414
TNFSF13B	TNFSF13B	ENSG00000102524	Tumor necrosis factor ligand superfamily member 13B	13q33.3	13	108903588	108960832	108251240	108308484	yes	2014	6.96568872393247	0.376851922356139	6.88507118269231	0.383440786876497	7.05176905544148	0.349928433989609	2.41691851553859e-27
TLT_2	TREML2	ENSG00000112195	Trem-like transcript 2 protein	6p21.1	6	41157552	41168932	41189749	41201149	yes	2014	5.07675856007944	0.451658482388931	5.02433128846154	0.455660202826533	5.13273839835729	0.440741501048467	1.14276519355663e-07
vWF	VWF	ENSG00000110799	von Willebrand factor	12p13.31	12	6058040	6233936	5948877	6124770	yes	2014	7.58257972194638	0.780565907761341	7.56166964423077	0.782239115786212	7.60490670431212	0.778556813079903	0.130036259380174
